edition,round,score,home_team,away_team,url,city,year,home_result,away_result,result,date
1930-URUGUAY,group_stage,4-1 (3-0),France,Mexico,1930_URUGUAY_FS.htm#1-WC-30-I,Montevideo,1930,4.0,1.0,France,
1930-URUGUAY,group_stage,3-0 (2-0),United States,Belgium,1930_URUGUAY_FS.htm#13-WC-30-I,Montevideo,1930,3.0,0.0,United States,
1930-URUGUAY,group_stage,2-1 (2-0),Serbia,Brazil,1930_URUGUAY_FS.htm#7-WC-30-I,Montevideo,1930,2.0,1.0,Serbia,
1930-URUGUAY,group_stage,3-1 (1-0),Romania,Peru,1930_URUGUAY_FS.htm#10-WC-30-I,Montevideo,1930,3.0,1.0,Romania,
1930-URUGUAY,group_stage,1-0 (0-0),Argentina,France,1930_URUGUAY_FS.htm#2-WC-30-I,Montevideo,1930,1.0,0.0,Argentina,
1930-URUGUAY,group_stage,3-0 (1-0),Chile,Mexico,1930_URUGUAY_FS.htm#3-WC-30-I,Montevideo,1930,3.0,0.0,Chile,
1930-URUGUAY,group_stage,4-0 (0-0),Serbia,Bolivia,1930_URUGUAY_FS.htm#8-WC-30-I,Montevideo,1930,4.0,0.0,Serbia,
1930-URUGUAY,group_stage,3-0 (2-0),United States,Paraguay,1930_URUGUAY_FS.htm#14-WC-30-I,Montevideo,1930,3.0,0.0,United States,
1930-URUGUAY,group_stage,1-0 (0-0),Uruguay,Peru,1930_URUGUAY_FS.htm#11-WC-30-I,Montevideo,1930,1.0,0.0,Uruguay,
1930-URUGUAY,group_stage,1-0 (0-0),Chile,France,1930_URUGUAY_FS.htm#4-WC-30-I,Montevideo,1930,1.0,0.0,Chile,
1930-URUGUAY,group_stage,6-3 (3-1),Argentina,Mexico,1930_URUGUAY_FS.htm#5-WC-30-I,Montevideo,1930,6.0,3.0,Argentina,
1930-URUGUAY,group_stage,4-0 (1-0),Brazil,Bolivia,1930_URUGUAY_FS.htm#9-WC-30-I,Montevideo,1930,4.0,0.0,Brazil,
1930-URUGUAY,group_stage,1-0 (1-0),Paraguay,Belgium,1930_URUGUAY_FS.htm#15-WC-30-I,Montevideo,1930,1.0,0.0,Paraguay,
1930-URUGUAY,group_stage,4-0 (4-0),Uruguay,Romania,1930_URUGUAY_FS.htm#12-WC-30-I,Montevideo,1930,4.0,0.0,Uruguay,
