home_team,away_team,home_result,away_result,result,date,round,city,stadium,edition
Brazil,Croatia,3,1,Brazil,2014-06-12 17:00:00,group_stage,Sao Paulo,Arena de Sao Paulo,2014-BRAZIL
Mexico,Cameroon,1,0,Mexico,2014-06-13 13:00:00,group_stage,Natal,Estadio das Dunas,2014-BRAZIL
Spain,Netherlands,1,5,Netherlands,2014-06-13 16:00:00,group_stage,Salvador,Arena Fonte Nova,2014-BRAZIL
Chile,Australia,3,1,Chile,2014-06-13 18:00:00,group_stage,Cuiaba,Arena Pantanal,2014-BRAZIL
Colombia,Greece,3,0,Colombia,2014-06-14 13:00:00,group_stage,Belo Horizonte,Estadio Mineirao,2014-BRAZIL
Uruguay,Costa Rica,1,3,Costa Rica,2014-06-14 16:00:00,group_stage,Fortaleza,Estadio Castelao,2014-BRAZIL
England,Italy,1,2,Italy,2014-06-14 18:00:00,group_stage,Manaus,Arena Amazonia,2014-BRAZIL
Ivory Coast,Japan,2,1,Ivory Coast,2014-06-14 22:00:00,group_stage,Recife,Arena Pernambuco,2014-BRAZIL
Switzerland,Ecuador,2,1,Switzerland,2014-06-15 13:00:00,group_stage,Brasilia,Estadio Nacional,2014-BRAZIL
France,Honduras,3,0,France,2014-06-15 16:00:00,group_stage,Porto Alegre,Estadio Beira-Rio,2014-BRAZIL
Argentina,Bosnia and Herzegovina,2,1,Argentina,2014-06-15 19:00:00,group_stage,Rio de Janeiro,Estadio do Maracana,2014-BRAZIL
Germany,Portugal,4,0,Germany,2014-06-16 13:00:00,group_stage,Salvador,Arena Fonte Nova,2014-BRAZIL
Iran,Nigeria,0,0,draw,2014-06-16 16:00:00,group_stage,Curitiba,Arena da Baixada,2014-BRAZIL
Ghana,United States,1,2,United States,2014-06-16 19:00:00,group_stage,Natal,Estadio das Dunas,2014-BRAZIL
Belgium,Algeria,2,1,Belgium,2014-06-17 13:00:00,group_stage,Belo Horizonte,Estadio Mineirao,2014-BRAZIL
Brazil,Mexico,0,0,draw,2014-06-17 16:00:00,group_stage,Fortaleza,Estadio Castelao,2014-BRAZIL
Russia,South Korea,1,1,draw,2014-06-17 18:00:00,group_stage,Cuiaba,Arena Pantanal,2014-BRAZIL
Australia,Netherlands,2,3,Netherlands,2014-06-18 13:00:00,group_stage,Porto Alegre,Estadio Beira-Rio,2014-BRAZIL
Spain,Chile,0,2,Chile,2014-06-18 16:00:00,group_stage,Rio de Janeiro,Estadio do Maracana,2014-BRAZIL
Cameroon,Croatia,0,4,Croatia,2014-06-18 18:00:00,group_stage,Manaus,Arena Amazonia,2014-BRAZIL
Colombia,Ivory Coast,2,1,Colombia,2014-06-19 13:00:00,group_stage,Brasilia,Estadio Nacional,2014-BRAZIL
Uruguay,England,2,1,Uruguay,2014-06-19 16:00:00,group_stage,Sao Paulo,Arena de Sao Paulo,2014-BRAZIL
Japan,Greece,0,0,draw,2014-06-19 19:00:00,group_stage,Natal,Estadio das Dunas,2014-BRAZIL
Italy,Costa Rica,0,1,Costa Rica,2014-06-20 13:00:00,group_stage,Recife,Arena Pernambuco,2014-BRAZIL
Switzerland,France,2,5,France,2014-06-20 16:00:00,group_stage,Salvador,Arena Fonte Nova,2014-BRAZIL
Honduras,Ecuador,1,2,Ecuador,2014-06-20 19:00:00,group_stage,Curitiba,Arena da Baixada,2014-BRAZIL
Argentina,Iran,1,0,Argentina,2014-06-21 13:00:00,group_stage,Belo Horizonte,Estadio Mineirao,2014-BRAZIL
Germany,Ghana,2,2,draw,2014-06-21 16:00:00,group_stage,Fortaleza,Estadio Castelao,2014-BRAZIL
Nigeria,Bosnia and Herzegovina,1,0,Nigeria,2014-06-21 18:00:00,group_stage,Cuiaba,Arena Pantanal,2014-BRAZIL
Belgium,Russia,1,0,Belgium,2014-06-22 13:00:00,group_stage,Rio de Janeiro,Estadio do Maracana,2014-BRAZIL
South Korea,Algeria,2,4,Algeria,2014-06-22 16:00:00,group_stage,Porto Alegre,Estadio Beira-Rio,2014-BRAZIL
United States,Portugal,2,2,draw,2014-06-22 18:00:00,group_stage,Manaus,Arena Amazonia,2014-BRAZIL
Australia,Spain,0,3,Spain,2014-06-23 13:00:00,group_stage,Curitiba,Arena da Baixada,2014-BRAZIL
Netherlands,Chile,2,0,Netherlands,2014-06-23 13:00:00,group_stage,Sao Paulo,Arena de Sao Paulo,2014-BRAZIL
Cameroon,Brazil,1,4,Brazil,2014-06-23 17:00:00,group_stage,Brasilia,Estadio Nacional,2014-BRAZIL
Croatia,Mexico,1,3,Mexico,2014-06-23 17:00:00,group_stage,Recife,Arena Pernambuco,2014-BRAZIL
Italy,Uruguay,0,1,Uruguay,2014-06-24 13:00:00,group_stage,Natal,Estadio das Dunas,2014-BRAZIL
Costa Rica,England,0,0,draw,2014-06-24 13:00:00,group_stage,Belo Horizonte,Estadio Mineirao,2014-BRAZIL
Japan,Colombia,1,4,Colombia,2014-06-24 16:00:00,group_stage,Cuiaba,Arena Pantanal,2014-BRAZIL
Greece,Ivory Coast,2,1,Greece,2014-06-24 17:00:00,group_stage,Fortaleza,Estadio Castelao,2014-BRAZIL
